goos: darwin
goarch: arm64
pkg: github.com/timescale/promscale/pkg/clockcache
BenchmarkInsertOverCapacity/5000-10         	 6461421	       184.9 ns/op	   6461421 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6493938	       183.9 ns/op	   6493938 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6488930	       184.3 ns/op	   6488930 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6503246	       185.2 ns/op	   6503246 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6497487	       185.3 ns/op	   6497487 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6468921	       184.9 ns/op	   6468921 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6496011	       184.1 ns/op	   6496011 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6445593	       184.5 ns/op	   6445593 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6491439	       184.7 ns/op	   6491439 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6416116	       184.1 ns/op	   6416116 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6476484	       183.1 ns/op	   6476484 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6809956	       176.1 ns/op	   6809956 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6802498	       175.4 ns/op	   6802498 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6777286	       176.6 ns/op	   6777286 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6808844	       179.0 ns/op	   6808844 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6424042	       177.3 ns/op	   6424042 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6734672	       175.3 ns/op	   6734672 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6817035	       175.2 ns/op	   6817035 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6779211	       176.6 ns/op	   6779211 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6769574	       175.6 ns/op	   6769574 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6801390	       176.7 ns/op	   6801390 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
